strategy,budget,static_rsus,mobile_rsus,graph_coverage,traffic_coverage,graph_static_coverage,graph_mobile_coverage,graph_total_coverage,guaranteed_ratio
hybrid,25,8,17,0.7815126050420168,0.8678530443858518,0.19687875150060025,0.6062424969987995,0.7815126050420168,0.2519201228878648
hybrid,30,9,21,0.8631452581032413,0.8755576719963069,0.2064825930372149,0.6782713085234093,0.8631452581032413,0.23922114047287898
hybrid,35,11,24,0.9123649459783914,0.9388543761477657,0.2388955582232893,0.7466986794717887,0.9123649459783914,0.2618421052631579
hybrid,40,12,28,0.9531812725090036,0.9612364596631655,0.2460984393757503,0.78031212484994,0.9531812725090036,0.25818639798488663
hybrid,45,14,31,0.9735894357743097,0.9741641799877425,0.27611044417767105,0.7935174069627852,0.9735894357743097,0.2836004932182491
hybrid,50,15,35,0.9831932773109243,0.9847601667120753,0.2797118847539016,0.8451380552220888,0.9831932773109243,0.2844932844932845
hybrid,55,17,38,0.9903961584633854,0.9847601667120753,0.31092436974789917,0.8547418967587035,0.9903961584633854,0.31393939393939396
hybrid,60,18,42,0.9939975990396158,0.9847601667120753,0.3157262905162065,0.9027611044417767,0.9939975990396158,0.3176328502415459
hybrid,65,22,43,0.9975990396158463,0.9999999999999996,0.3589435774309724,0.9027611044417767,0.9975990396158463,0.35980746089049337
hybrid,70,22,48,1.0,0.9999999999999996,0.3589435774309724,0.9051620648259304,1.0,0.3589435774309724
hybrid,75,22,50,1.0,0.9999999999999996,0.3589435774309724,0.9183673469387755,1.0,0.3589435774309724
hybrid,80,22,50,1.0,0.9999999999999996,0.3589435774309724,0.9183673469387755,1.0,0.3589435774309724
hybrid,85,22,50,1.0,0.9999999999999996,0.3589435774309724,0.9183673469387755,1.0,0.3589435774309724
hybrid,90,22,50,1.0,0.9999999999999996,0.3589435774309724,0.9183673469387755,1.0,0.3589435774309724
hybrid,95,22,50,1.0,0.9999999999999996,0.3589435774309724,0.9183673469387755,1.0,0.3589435774309724
hybrid,100,22,50,1.0,0.9999999999999996,0.3589435774309724,0.9183673469387755,1.0,0.3589435774309724
